id,r,g,b
NCS S 0300-N,255,255,255
NCS S 0500-N,252,252,251
NCS S 1000-N,242,242,240
NCS S 1500-N,224,223,222
NCS S 2000-N,216,216,215
NCS S 2500-N,206,205,204
NCS S 3000-N,192,191,190
NCS S 3500-N,176,176,175
NCS S 4000-N,165,165,164
NCS S 4500-N,151,151,150
NCS S 5000-N,142,142,141
NCS S 5500-N,133,133,131
NCS S 6000-N,122,121,119
NCS S 6500-N,109,109,107
NCS S 7000-N,96,96,94
NCS S 7500-N,84,84,82
NCS S 8000-N,67,66,65
NCS S 8500-N,38,40,36
NCS S 9000-N,17,20,16
NCS S 0502-Y,255,253,242
NCS S 1002-Y,234,232,219
NCS S 1502-Y,213,211,199
NCS S 2002-Y,201,200,189
NCS S 2502-Y,184,183,173
NCS S 3502-Y,154,155,146
NCS S 4502-Y,134,134,126
NCS S 5502-Y,109,109,102
NCS S 6502-Y,85,85,79
NCS S 7502-Y,53,52,48
NCS S 8502-Y,21,19,17
NCS S 0502-Y50R,255,250,237
NCS S 1002-Y50R,240,233,221
NCS S 1502-Y50R,218,212,202
NCS S 2002-Y50R,200,193,185
NCS S 0502-R,255,251,248
NCS S 1002-R,233,228,223
NCS S 1502-R,212,207,204
NCS S 2002-R,195,190,188
NCS S 2502-R,185,180,178
NCS S 3502-R,145,141,141
NCS S 4502-R,122,119,118
NCS S 5502-R,108,105,101
NCS S 6502-R,84,80,77
NCS S 7502-R,47,44,42
NCS S 8502-R,22,18,18
NCS S 0502-R50B,252,251,253
NCS S 1002-R50B,225,226,229
NCS S 1502-R50B,209,209,214
NCS S 2002-R50B,188,189,194
NCS S 0502-B,250,253,255
NCS S 1002-B,227,232,234
NCS S 1502-B,210,215,218
NCS S 2002-B,191,196,199
NCS S 2502-B,174,179,182
NCS S 3502-B,141,145,148
NCS S 4502-B,118,122,124
NCS S 5502-B,91,95,97
NCS S 6502-B,67,71,73
NCS S 7502-B,41,45,47
NCS S 8502-B,9,17,21
NCS S 0502-B50G,250,253,248
NCS S 1002-B50G,231,235,230
NCS S 1502-B50G,203,211,208
NCS S 2002-B50G,182,191,189
NCS S 0502-G,250,253,247
NCS S 1002-G,235,240,231
NCS S 1502-G,214,219,211
NCS S 2002-G,193,198,191
NCS S 2502-G,176,181,176
NCS S 3502-G,145,150,146
NCS S 4502-G,128,132,129
NCS S 5502-G,92,95,92
NCS S 6502-G,70,72,69
NCS S 7502-G,43,46,44
NCS S 8502-G,19,20,17
NCS S 0502-G50Y,252,253,247
NCS S 1002-G50Y,240,242,235
NCS S 1502-G50Y,218,220,208
NCS S 2002-G50Y,196,199,189
NCS S 0505-Y,255,251,231
NCS S 0507-Y,255,249,214
NCS S 0510-Y,255,248,202
NCS S 0515-Y,255,246,190
NCS S 0520-Y,255,238,167
NCS S 0530-Y,255,235,146
NCS S 0540-Y,254,230,107
NCS S 0550-Y,253,221,78
NCS S 0560-Y,253,215,44
NCS S 0570-Y,250,213,0
NCS S 0580-Y,249,207,0
NCS S 1005-Y,245,240,211
NCS S 1010-Y,244,234,181
NCS S 1015-Y,246,233,176
NCS S 1020-Y,244,229,163
NCS S 1030-Y,246,222,138
NCS S 1040-Y,249,221,128
NCS S 1050-Y,254,215,76
NCS S 1060-Y,252,211,43
NCS S 1070-Y,247,202,39
NCS S 1080-Y,236,188,0
NCS S 1505-Y,229,223,196
NCS S 1510-Y,222,213,165
NCS S 1515-Y,221,209,154
NCS S 2005-Y,200,196,173
NCS S 2010-Y,198,190,158
NCS S 2020-Y,200,187,134
NCS S 2030-Y,205,184,103
NCS S 2040-Y,208,179,83
NCS S 2050-Y,206,169,38
NCS S 2060-Y,199,163,0
NCS S 2070-Y,193,159,0
NCS S 3010-Y,175,165,128
NCS S 3020-Y,177,161,109
NCS S 3030-Y,175,155,88
NCS S 3040-Y,168,138,54
NCS S 3050-Y,156,122,25
NCS S 3060-Y,156,121,0
NCS S 3560-Y,152,116,0
NCS S 4020-Y,144,126,71
NCS S 4030-Y,147,121,46
NCS S 4040-Y,139,110,19
NCS S 4050-Y,134,104,0
NCS S 4550-Y,129,99,0
NCS S 5020-Y,116,100,56
NCS S 5030-Y,118,91,20
NCS S 5040-Y,106,79,0
NCS S 6020-Y,98,79,44
NCS S 6030-Y,62,48,0
NCS S 7020-Y,67,50,18
NCS S 0505-Y10R,255,249,229
NCS S 0510-Y10R,255,244,200
NCS S 0515-Y10R,255,239,179
NCS S 0520-Y10R,255,235,165
NCS S 0530-Y10R,255,226,146
NCS S 0540-Y10R,255,220,122
NCS S 0550-Y10R,255,213,98
NCS S 0560-Y10R,253,195,54
NCS S 0570-Y10R,251,187,34
NCS S 0580-Y10R,248,175,0
NCS S 0804-Y10R,253,249,239
NCS S 0907-Y10R,249,238,203
NCS S 1005-Y10R,243,234,206
NCS S 1010-Y10R,243,229,180
NCS S 1015-Y10R,242,224,168
NCS S 1020-Y10R,245,224,159
NCS S 1030-Y10R,250,219,138
NCS S 1040-Y10R,255,213,102
NCS S 1050-Y10R,255,205,78
NCS S 1060-Y10R,251,192,40
NCS S 1070-Y10R,249,188,0
NCS S 1080-Y10R,248,181,0
NCS S 1505-Y10R,222,212,180
NCS S 1510-Y10R,232,219,171
NCS S 1515-Y10R,231,213,159
NCS S 2005-Y10R,203,193,165
NCS S 2010-Y10R,200,189,151
NCS S 2020-Y10R,210,187,125
NCS S 2030-Y10R,216,179,100
NCS S 2040-Y10R,225,175,85
NCS S 2050-Y10R,222,167,61
NCS S 2060-Y10R,209,149,24
NCS S 2070-Y10R,225,157,0
NCS S 3010-Y10R,167,153,115
NCS S 3020-Y10R,182,159,107
NCS S 3030-Y10R,180,150,83
NCS S 3040-Y10R,176,133,56
NCS S 3050-Y10R,175,120,18
NCS S 3060-Y10R,181,126,0
NCS S 4010-Y10R,150,133,96
NCS S 4020-Y10R,146,118,69
NCS S 4030-Y10R,156,119,54
NCS S 4040-Y10R,145,102,35
NCS S 4050-Y10R,145,92,0
NCS S 4055-Y10R,149,95,0
NCS S 5010-Y10R,117,104,74
NCS S 5020-Y10R,127,98,58
NCS S 5030-Y10R,130,95,43
NCS S 5040-Y10R,113,71,2
NCS S 6010-Y10R,106,90,65
NCS S 6020-Y10R,114,83,48
NCS S 6030-Y10R,83,51,11
NCS S 7010-Y10R,90,72,51
NCS S 7020-Y10R,68,41,0
NCS S 8010-Y10R,46,33,18
NCS S 0505-Y20R,255,248,225
NCS S 0507-Y20R,255,245,211
NCS S 0510-Y20R,255,240,189
NCS S 0515-Y20R,255,234,177
NCS S 0520-Y20R,255,228,163
NCS S 0530-Y20R,255,209,122
NCS S 0540-Y20R,255,192,95
NCS S 0550-Y20R,251,179,67
